Ref_Date,GEOGRAPHY,CUTOFFBASE,STATISTICS,LICOPERSONS,Value
2006,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in two-parent families,7.5
2007,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in two-parent families,6.5
2008,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in two-parent families,6.4
2009,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in two-parent families,7.3
2010,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in two-parent families,5.7
2011,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in two-parent families,5.9
1976,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,58.7
1977,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,55.3
1978,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,50.4
1979,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,51.5
1980,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,48.6
1981,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,48.7
1982,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,53.9
1983,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,55.3
1984,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,56.3
1985,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,57.1
1986,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,52.5
1987,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,53.0
1988,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,49.4
1989,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,46.2
1990,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,51.2
1991,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,52.7
1992,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,48.8
1993,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,49.6
1994,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,48.2
1995,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,50.7
1996,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,56.0
1997,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,51.2
1998,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,46.2
1999,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,41.9
2000,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,40.1
2001,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,37.4
2002,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,43.0
2003,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,41.4
2004,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,40.4
2005,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,32.9
2006,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,31.2
2007,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,26.7
2008,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,23.3
2009,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,21.5
2010,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,21.8
2011,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Persons under 18 years in female lone-parent families,23.0
1976,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,39.9
1977,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,40.7
1978,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,38.7
1979,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,37.6
1980,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,37.2
1981,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,35.5
1982,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,34.5
1983,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,38.7
1984,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,35.5
1985,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,34.9
1986,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,33.6
1987,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,32.8
1988,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,32.0
1989,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,29.0
1990,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,31.3
1991,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,35.4
1992,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,35.1
1993,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,35.3
1994,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,35.0
1995,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,35.0
1996,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,36.1
1997,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,36.2
1998,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,35.2
1999,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,34.1
2000,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,32.9
2001,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,30.8
2002,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,29.5
2003,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,29.7
2004,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,30.1
2005,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,30.5
2006,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,29.4
2007,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,27.6
2008,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,27.3
2009,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,26.9
2010,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,26.9
2011,Canada,"Low income cut-offs after tax, 1992 base",Percentage of persons in low income,Unattached individuals,27.7
1976,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4034
1977,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4018
1978,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3903
1979,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4003
1980,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3836
1981,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3877
1982,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4254
1983,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4639
1984,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4706
1985,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4447
1986,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4200
1987,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4148
1988,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3949
1989,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3725
1990,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4371
1991,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4794
1992,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,5062
1993,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,5289
1994,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,5337
1995,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,5470
1996,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,5770
1997,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,5701
1998,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,5478
1999,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,5162
2000,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4919
2001,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4712
2002,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4966
2003,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4958
2004,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4923
2005,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4832
2006,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4543
2007,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4331
2008,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4384
2009,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4417
2010,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4500
2011,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4331
1976,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1287
1977,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1227
1978,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1185
1979,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1183
1980,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1107
1981,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1129
1982,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1287
1983,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1322
1984,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1382
1985,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1266
1986,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1158
1987,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1138
1988,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1042
1989,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1020
1990,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1244
1991,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1350
1992,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1371
1993,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1535
1994,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1463
1995,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1546
1996,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1618
1997,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1526
1998,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1450
1999,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1363
2000,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1264
2001,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1201
2002,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1247
2003,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1229
2004,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1218
2005,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1153
2006,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1057
2007,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1000
2008,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,946
2009,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,937
2010,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,923
2011,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,899
1976,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1940
1977,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1950
1978,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1911
1979,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2000
1980,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,1992
1981,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2003
1982,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2292
1983,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2582
1984,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2603
1985,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2474
1986,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2351
1987,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2336
1988,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2200
1989,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2062
1990,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2489
1991,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2770
1992,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3028
1993,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3060
1994,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3246
1995,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3291
1996,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3447
1997,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3505
1998,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3349
1999,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3205
2000,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3057
2001,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2961
2002,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3126
2003,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3149
2004,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3156
2005,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3105
2006,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2960
2007,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2809
2008,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2874
2009,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2962
2010,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,3006
2011,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,2889
1976,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,807
1977,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,842
1978,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,808
1979,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,820
1980,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,737
1981,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,745
1982,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,675
1983,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,735
1984,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,721
1985,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,706
1986,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,691
1987,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,674
1988,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,708
1989,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,643
1990,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,637
1991,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,675
1992,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,663
1993,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,694
1994,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,628
1995,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,633
1996,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,705
1997,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,670
1998,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,680
1999,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,594
2000,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,598
2001,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,550
2002,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,593
2003,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,579
2004,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,549
2005,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,574
2006,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,527
2007,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,522
2008,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,564
2009,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,517
2010,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,570
2011,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons 65 years and over,543
1976,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1773
1977,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1794
1978,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1733
1979,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1765
1980,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1652
1981,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1690
1982,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1888
1983,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2098
1984,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2101
1985,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1965
1986,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1858
1987,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1807
1988,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1673
1989,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1584
1990,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,1888
1991,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2139
1992,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2266
1993,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2371
1994,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2380
1995,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2483
1996,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2609
1997,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2612
1998,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2499
1999,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2354
2000,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2172
2001,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2103
2002,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2281
2003,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2274
2004,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2273
2005,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2258
2006,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2100
2007,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2034
2008,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2015
2009,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2100
2010,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2115
2011,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Males,2053
1976,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2261
1977,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2225
1978,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2170
1979,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2238
1980,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2184
1981,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2187
1982,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2366
